energy_GeV,trained_at,is_train_energy,auc_cnn,auc_vit,auc_delta,auc_jj_cnn,auc_jj_vit,auc_bb_cnn,auc_bb_vit,ev_tag_eff_cnn,ev_tag_eff_vit,mean_comp_cnn,mean_comp_vit,bkg_rej_50pct_cnn,bkg_rej_70pct_cnn,bkg_rej_90pct_cnn,bkg_rej_50pct_vit,bkg_rej_70pct_vit,bkg_rej_90pct_vit
100,125,False,0.9952,0.9957,0.0005,0.9916,0.9926,0.9987,0.9987,0.9816,0.9748,0.9753,0.9653,0.9985,0.9968,0.9881,0.9988,0.9974,0.9904
125,125,True,0.9968,0.9971,0.0003,0.9945,0.995,0.999,0.9991,0.9891,0.9848,0.9851,0.9785,0.9986,0.9979,0.9924,0.9988,0.9982,0.9937
150,125,False,0.9977,0.9978,0.0001,0.9959,0.9962,0.9994,0.9994,0.9927,0.9883,0.9896,0.9831,0.999,0.9986,0.9946,0.9991,0.9987,0.9955
200,125,False,0.9984,0.9984,-0.0,0.9974,0.9973,0.9995,0.9995,0.9951,0.9928,0.9929,0.9894,0.9996,0.999,0.9964,0.9995,0.9989,0.9966
250,125,False,0.9986,0.9986,-0.0,0.9978,0.9977,0.9994,0.9994,0.9957,0.9934,0.9939,0.9905,0.9996,0.9992,0.997,0.9996,0.9992,0.9971
300,125,False,0.9988,0.9987,-0.0001,0.9981,0.998,0.9995,0.9994,0.9957,0.9937,0.9939,0.9909,0.9997,0.9993,0.9977,0.9997,0.9993,0.9975
